date,open,high,low,close,volume
3/18/2024 17:00,67124.12,67486.15,66565.2,67388.27,3418.98028
3/18/2024 18:00,67388.28,67467.94,66944.1,67010,2128.06824
3/18/2024 19:00,67010.01,67437.5,66870.95,66936,2256.01206
3/18/2024 20:00,66936,67395.41,66935.99,67358.17,1427.99964
3/18/2024 21:00,67358.17,67896.55,67340.33,67621.51,1836.88429
3/18/2024 22:00,67621.51,67710,67294.02,67692,1674.76707
3/18/2024 23:00,67692,67999,67523,67609.99,1531.39263
3/19/2024 0:00,67610,68124.11,66861.1,67086.96,2857.09141
3/19/2024 1:00,67086.96,67181.09,65804.22,65851.61,5222.82138
3/19/2024 2:00,65851.6,66384.61,65501,65875.88,3471.92262
3/19/2024 3:00,65875.87,66041.78,64860,65876.01,4795.5184
3/19/2024 4:00,65876.01,65976.1,65031.8,65341.18,3304.27728
3/19/2024 5:00,65341.18,65615.38,64628,65214.3,3502.79397
3/19/2024 6:00,65214.3,65435.61,64603.01,64927.99,3151.77428
3/19/2024 7:00,64927.99,64928,63577,64704.22,6052.93432
3/19/2024 8:00,64704.23,64710.69,63129,63464,5729.09761
3/19/2024 9:00,63463.64,64200,62982.8,64141.84,6199.01273
3/19/2024 10:00,64141.84,64146.15,62732,63256.01,4588.1916
3/19/2024 11:00,63256.01,63396,62505,63081.34,5243.16151
3/19/2024 12:00,63081.34,63818.35,63000,63624,4485.77219
3/19/2024 13:00,63624,63861.1,63061.1,63564.01,3413.81814
3/19/2024 14:00,63564.01,63564.01,62410.78,62888,5632.18406
3/19/2024 15:00,62888,64150,62600,64051.85,6290.10894
3/19/2024 16:00,64051.85,65040,63969.58,64972,5201.37041
3/19/2024 17:00,64971.99,65756,64630.14,64868.01,4771.66326
3/19/2024 18:00,64868.01,64943.39,64200,64716.59,2590.3836
3/19/2024 19:00,64716.58,65306.72,64386.3,64391.99,2149.30673
3/19/2024 20:00,64392,64500.12,63547.38,63770.38,3040.28115
3/19/2024 21:00,63770.37,64109.98,63534.12,63952.01,1385.92956
3/19/2024 22:00,63952.01,64036.5,62461.58,62633.96,3308.59823
3/19/2024 23:00,62633.97,62812.24,61555,61937.4,4617.31149
3/20/2024 0:00,61937.41,63386.14,61840,63230.02,4342.78342
3/20/2024 1:00,63230.02,63240,61885,62374.86,3539.3119
3/20/2024 2:00,62374.87,63035.41,62226.61,62881.4,2810.54782
3/20/2024 3:00,62881.4,63466.21,61666,61860.81,3567.47986
3/20/2024 4:00,61860.82,62341.1,61111,61646.91,5127.50541
3/20/2024 5:00,61646.91,61774.25,60775,61549.53,4731.37482
3/20/2024 6:00,61549.54,62033.53,61520.64,61749.99,2582.5745
3/20/2024 7:00,61750,63198.83,61724.79,62957.85,3963.65077
