date,open,high,low,close,volume,name
3/10/2006,141.63,142.45,140.15,141.53,3247100,GS
3/13/2006,141.55,142.95,139.18,140.72,4946200,GS
3/14/2006,145.92,149.5,145.62,149.42,11364100,GS
3/15/2006,148.3,149.64,147.59,149,7557200,GS
3/16/2006,149.1,149.69,147.45,147.69,6025900,GS
3/17/2006,148.25,151.54,148.03,150.36,6670900,GS
3/20/2006,150.05,152.66,149.8,152.18,4896800,GS
3/21/2006,151.61,152,149.01,149.4,4460800,GS
3/22/2006,148.3,152.36,148.3,151.82,3770800,GS
3/23/2006,151.17,151.96,150.45,151.67,3852700,GS
3/24/2006,151.68,152.57,150.88,152.17,2651700,GS
3/27/2006,152.13,155.36,152.13,155,4314600,GS
3/28/2006,155.01,157.82,154.16,154.16,6481600,GS
3/29/2006,154.9,157.57,154.84,156.9,4458100,GS
3/30/2006,157.73,159.63,155.71,156.81,4771000,GS
3/31/2006,157,158.38,156.25,156.96,3298500,GS
4/3/2006,157.99,159.88,156.92,158.12,3979900,GS
4/4/2006,158.12,161.36,158.12,161,5088900,GS
4/5/2006,160.5,161.92,160,160.75,4193600,GS
4/6/2006,160.07,162.07,160.07,162.04,4180900,GS
4/7/2006,162.04,163.16,159.89,161.02,4964600,GS
4/10/2006,162.5,164.05,161.45,162.46,4471400,GS
4/11/2006,163,163.3,158.51,159.15,4963300,GS
4/12/2006,159.63,160.3,158.4,159.52,3434000,GS
4/13/2006,158.45,159.69,158.2,159.43,2217100,GS
4/17/2006,160.25,163.21,160,161.94,3381700,GS
4/18/2006,162.75,166.18,161.32,165.55,4829800,GS
4/19/2006,164.55,167.57,163.6,167.05,4466200,GS
4/20/2006,166.06,169.31,166.06,168.55,4894400,GS
4/21/2006,168.62,168.66,165.32,165.89,3591500,GS
4/24/2006,165.5,166.27,163.5,165.35,3432400,GS
4/25/2006,165.35,165.6,161.76,162.8,3361400,GS
4/26/2006,163.5,164.65,162.2,163.4,3032600,GS
4/27/2006,163.35,165.79,162.1,163.97,4063900,GS
4/28/2006,163.81,164.89,158.65,160.29,5349000,GS
5/1/2006,160.3,161.67,156.08,156.45,5652300,GS
5/2/2006,157.6,160,157.12,158.83,3710800,GS
5/3/2006,159.5,159.85,157.75,159.15,2521200,GS
5/4/2006,159.16,160.33,158,158.04,2554600,GS
5/5/2006,159.75,164.6,159.69,164.39,3751400,GS
5/8/2006,164.39,166.55,162.2,163.53,2395700,GS
5/9/2006,163.75,166.26,163.7,165.75,2628300,GS
5/10/2006,164.85,165.41,162.05,164.09,3215900,GS
5/11/2006,164.38,164.49,158.6,159.28,3640200,GS
5/12/2006,158.75,159.7,156.07,156.11,4579700,GS
5/15/2006,154.6,157,151.11,153.14,6119200,GS
5/16/2006,153.6,155.11,150.62,152.7,4091000,GS
5/17/2006,150.85,151.15,147,148.21,7477600,GS
5/18/2006,149.36,150.25,146.25,147.03,6246300,GS
5/19/2006,148.3,150.45,146.75,149.41,6502500,GS
5/22/2006,148.51,148.51,143.34,146.15,8492900,GS
5/23/2006,148.05,148.88,143.7,143.7,5607800,GS
5/24/2006,143.65,145.59,140.42,143.92,8788600,GS
5/25/2006,145.2,147.32,144.68,147.32,5614100,GS
5/26/2006,150,152.94,149.47,152.94,5749800,GS
5/30/2006,151,151.95,149.25,149.83,5217200,GS
5/31/2006,151.3,152.39,149.15,150.95,5262300,GS
6/1/2006,150.92,153.59,150.19,153.55,4208500,GS
6/2/2006,155.5,157,153.6,154.09,4253400,GS
6/5/2006,154.95,156.29,149.85,150.4,5525200,GS
6/6/2006,151.39,152.06,147.5,149.24,6562600,GS
6/7/2006,149.25,152.53,148.3,149.95,4319900,GS
6/8/2006,148.8,150.67,144.5,149.76,7885500,GS
6/9/2006,151,152.1,148.99,149.89,4407700,GS
6/12/2006,150.3,150.72,145,145,5866800,GS
6/13/2006,144.5,145.5,138.01,139.25,15680800,GS
6/14/2006,139.75,141.76,136.79,138.5,10541300,GS
6/15/2006,140.4,145.19,140.07,144.12,10970400,GS
6/16/2006,143.3,144.59,142.61,144,6368800,GS
6/19/2006,144.98,145.75,142.95,143.75,6537400,GS
6/20/2006,144.65,145.99,143.59,145.26,5809700,GS
6/21/2006,145.77,150.32,145.5,149.83,7648400,GS
6/22/2006,149.71,150.5,146.95,148.31,4430000,GS
6/23/2006,147.85,149.4,147.21,147.92,3488000,GS
6/26/2006,148.92,149.95,148.1,149.9,3799600,GS
6/27/2006,149.05,150.89,147.16,147.16,3667000,GS
6/28/2006,147.41,148.5,145.07,146.49,4907100,GS
6/29/2006,148.1,152.2,146.35,152.2,6711800,GS
6/30/2006,152.2,152.72,149.5,150.43,5973300,GS
7/3/2006,151.93,152.79,151.34,152.45,3250500,GS
7/5/2006,151.7,151.7,150,150.95,4483600,GS
7/6/2006,152.29,152.3,150.2,150.58,3441000,GS
7/7/2006,150.01,150.5,148.44,148.51,3618800,GS
7/10/2006,149.25,150.41,148.16,148.85,2966100,GS
7/11/2006,148.4,149,146.55,148.67,3817200,GS
7/12/2006,148.7,149.23,145.07,145.27,4300100,GS
7/13/2006,144.03,145.2,142.1,142.55,6116800,GS
7/14/2006,143.1,143.5,138.97,140.1,5659400,GS
7/17/2006,140.1,142.27,139.2,140.87,4528700,GS
7/18/2006,140.62,142.48,139.9,142.34,5874500,GS
7/19/2006,142.7,147.85,142.7,146.97,6079400,GS
7/20/2006,146.7,147.8,145,145.18,4264500,GS
7/21/2006,145.05,145.06,141.8,142.04,4682400,GS
7/24/2006,143.3,147.5,143.06,146.9,4610700,GS
7/25/2006,146.9,149.67,145.34,148.49,4984200,GS
7/26/2006,147.5,148.82,146.69,147.38,3326300,GS
7/27/2006,148.7,149.63,147.59,148.26,4085900,GS
7/28/2006,149.65,152.35,149.33,151.72,4752200,GS
7/31/2006,151.6,153.73,150.66,152.75,4374000,GS
8/1/2006,151.63,151.74,149.59,151.26,3500600,GS
8/2/2006,150.26,150.5,147.54,149.9,6139300,GS
8/3/2006,148.75,153.15,148.47,152.1,3861000,GS
8/4/2006,154,156.29,152.17,152.99,4892300,GS
8/7/2006,152.12,154.85,151.76,152.65,3031100,GS
8/8/2006,152.65,155.4,150.49,151.45,6200100,GS
8/9/2006,153.5,153.75,149.6,150.01,4234600,GS
8/10/2006,149.5,152.12,148.5,151.63,3782100,GS
8/11/2006,152.35,152.87,149.99,151.11,2576500,GS
8/14/2006,152.48,153.01,149.43,150.37,3110900,GS
8/15/2006,152.38,153.99,151.21,152.65,4907000,GS
8/16/2006,153.95,155.05,152.72,154.99,3563900,GS
8/17/2006,153.9,156.87,153.85,154.45,3365700,GS
8/18/2006,154.45,154.75,153,154.68,2742100,GS
8/21/2006,153.16,154.25,151.64,153.83,3731200,GS
8/22/2006,154.36,155.01,153.05,154.15,3696600,GS
8/23/2006,153.41,154.75,152.15,152.7,2821200,GS
8/24/2006,153.55,153.6,150.75,151.4,3100000,GS
8/25/2006,150.69,151.42,149.75,150.07,2476200,GS
